Headword,Page,Construction,English Meaning,entry_text
چَکَڻَ,202,چَکاچۇکيِ ڪرڻ,"To taste, Personal adornment, A taste; a small quantity, To taste of","27) چَکَڻَ
			(p. 202) چَکَڻَ v. t. To taste. چَکُہ مَکُہ n. Personal adornment. چَکيِ n. A taste; a small quantity. چَکاچۇکيِ ڪرڻ To taste of (a delicacy)."
چوٽُ,208,چوٽَ ڪرڻ,"A cone, any thing shaped conically; any thing filled to the highest so as to form a point, The roof of a house, To culminate","28) چوٽُ
			(p. 208) چوٽُ n. A cone, any thing shaped conically; any thing filled to the highest so as to form a point. The roof of a house. چوٽَ ڪرڻ v. i. To culminate."
چوٽيِءَ ڀَرِ,208,چوٽيِ ڪرڻ,"Headlong, To braid the hair, A comet, One who lets his, A bird with a large crest, a lark","29) چوٽيِءَ ڀَرِ
			(p. 208) چوٽيِءَ ڀَرِ adv. Headlong. چوٽيِ ڪرڻ To braid the hair. چوٽيانئون or چِوِٽَيرُ n. A comet. چوٽير n. One who lets his چوٽيِ grow. A bird with a large crest, a lark."
چۇن ڪرڻ,210,چۇن ڪرڻ,"To utter a word, or syllable","30) چۇن ڪرڻ
			(p. 210) چۇن ڪرڻ v. i. To utter a word, or syllable."
چَوَڻُ,211,چَيو ڪرڻ,"To say, tell; speak to; to scold, Spoken, To rebuke or snub repeatedly, Obedient, To obey","31) چَوَڻُ
			(p. 211) چَوَڻُ v. t. (p.p. چَيو) To say, tell; speak to; to scold. چَيَلُ a. Spoken چَوْچَوْڪرڻ To rebuke or snub repeatedly. چَيو ڪرڻ مڃڻ a. Obedient. n. To obey. چَئيوانُ."
ڇۇٽِ,222,ڇۇٽ ڪرڻ,"Abatement, remission, pardon, immunity; discount, Quickness, speed, To remit, absolve, A deliverer, rescuer, preserver, See, Release, freedom, deliverance, emancipation, redemption","32) ڇۇٽِ
			(p. 222) ڇۇٽِ n. Abatement, remission, pardon, immunity; discount. Quickness, speed. ڇۇٽ ڪرڻ To remit, absolve. ڇوٽائۇ n. A deliverer, rescuer, preserver. ڇۇٽِ پالَ See ڇُڙَپَلَ under ڇوٽِڪارو .ڇُڙَڻُ or ڇوٽِڪو n. Release, freedom, deliverance, emancipation, redemption."
ڇيِ,224,,"Fie, tush, pooh, tut, The sound for calling cattle to water, To make water","33) ڇيِ
			(p. 224) ڇيِ n. inter. Fie, tush, pooh, tut. The sound for calling cattle to water. ڇيِ ڪرڻِ To make water (a child). (L. S.)."
حاصُلُ,225,obtained.حاصل ڪرڻ,"Possession, benefit, advantage, To be obtained, To obtain, Produce, revenue","34) حاصُلُ
			(p. 225) حاصُلُ n. Possession, benefit, advantage. حاصل ٿئڻ To be obtained.حاصل ڪرڻ v. t. To obtain. حاصُلاتِ n. Produce, revenue."
حَلالُ,229,حلال ڪرڻ,"Legitimate, lawfully earned, To slaughter according to the forms prescribed by the Mussalman religion, One who eats what is lawful; a sweeper, One who acts honestly or performs faithful service; legitimate","35) حَلالُ
			(p. 229) ...Legitimate, lawfully earned. حلال ڪرڻ To slaughter according to the forms prescribed by the Mussalman religion. حلالخور n. One who eats what is lawful; a sweeper. حلاليِ a. One who acts honestly or performs faithful service; legitimate."
حَمائلُ,229,جمائل ڪرڻ,"A sword-belt hung from the shoulders; a small Quran suspended from the neck, To sling across the shoulders","36) حَمائلُ
			(p. 229) حَمائلُ n. A sword-belt hung from the shoulders; a small Quran suspended from the neck. جمائل ڪرڻ To sling across the shoulders (a gun, sword, etc.)."
حَوالو,230,حواليِ ڪرڻ,"Reference, quotation; charge, commitment, A lock-up, A head constable, In charge, To give in charge","37) حَوالو
			(p. 230) حَوالو n. Reference, quotation; charge, commitment. حوالات n. A lock-up. حوالدار n. A head constable. حواليِ adv. In charge. حواليِ ڪرڻ To give in charge."
خاَرِجُ,231,خارج ڪرڻ,"Excluded, out of, exempt; nonsuit; rejected; good-for-nothing, To reject, bar, A schismatic; one of a Mah, Ali from the khalifas","38) خاَرِجُ
			(p. 231) خاَرِجُ a. Excluded, out of, exempt; nonsuit; rejected; good-for-nothing. خارج ڪرڻ v. t. To reject, bar. خارجيِ n. A schismatic; one of a Mah. sect who exclude Ali from the khalifas."
خاصِ,231,خاصيِ ڪرڻ,"Property, quality, attribute, To accept","39) خاصِ
			(p. 231) ...Property, quality, attribute. خاصيِ ڪرڻ (com.) To accept (a hundi)."
خالِصُ,231,خالصيِ ڪرڻ,"Pure, unadulterated, plain, A follower of Govindsing, Revenue-paying land, A thing that can easily be obtained or easily done, To confiscate, sequestrate, To be confiscated","40) خالِصُ
			(p. 231) خالِصُ a. Pure, unadulterated, plain (spirits, etc.). خالِصو n. A follower of Govindsing. Revenue-paying land. خالصيِ جيِ نانگليِ A thing that can easily be obtained or easily done. خالصيِ ڪرڻ v. t. To confiscate, sequestrate. خالصيِ ٿئَڻ To be confiscated."
خاليِ,231,خاليِ ڪرڻ,"Empty, unoccupied; idle, Uselessly, Causelessly, in vain, To empty; discharge, Empty-handed","41) خاليِ
			(p. 231) خاليِ n. Empty, unoccupied; idle. adv. Uselessly. خاليِ پيليِ adv. Causelessly, in vain. خاليِ ڪرڻ v. t. To empty; discharge (a boat). خاليِ هٿين adv. Empty-handed."
حَتَمُ,232,ختم ڪرڻ,"Conclusion, To end","42) حَتَمُ
			(p. 232) حَتَمُ n. Conclusion. ختم ڪرڻ a. l. To end."
خَرابَُ,233,خراب ڪرڻ,"Bad, evil; ruined, To spoil, mar; deprave, pollute; deflour, Unarable land, Destruction, injury, ruin, evil, badness; trouble, difficulty","43) خَرابَُ
			(p. 233) خَرابَُ a. Bad, evil; ruined. خراب ڪرڻ v. t. To spoil, mar; deprave, pollute; deflour. خرابو n. Unarable land. خرابيِ n. Destruction, injury, ruin, evil, badness; trouble, difficulty."
خَلاصُ,234,خلاص ڪرڻ,"Free, released; finished, used up; bad, useless, Primage, To finish off, Private, privately, retired, Roomy, wide, An abstract, Release, freedom, deliverance; completion, A sailor; a tent pitcher","44) خَلاصُ
			(p. 234) ...Free, released; finished, used up; bad, useless. n. (naut.) Primage. خلاص ڪرڻ To finish off. خُلاصو a. or adv. Private, privately, retired. Roomy, wide. n. An abstract. خَلاصيِ n. Release, freedom, deliverance; completion. A sailor; a tent pitcher."
خِيالُ,236,خيال ڪرڻ,"Thought; opinion, notion; fancy; anxiety; conceit, A kind of song, To think, Fancies; anxiety, Imaginary, fanciful; thoughtful","45) خِيالُ
			(p. 236) خِيالُ n. Thought; opinion, notion; fancy; anxiety; conceit. A kind of song. خيال ڪرڻ v. i. To think. خيالات n. pl. Fancies; anxiety. خياليِ a. Imaginary, fanciful; thoughtful."
داخِلِ,237,داخل ڪرڻ,"Entered, To enter, An entry, note, An entrance fee","46) داخِلِ
			(p. 237) داخِلِ a. Entered(in a book or account); registered. داخل ڪرڻ To enter. داخِلا or داخِلو n. An entry, note. داخِلا جيِ فيِ An entrance fee."
دادُلو,237,دادلو ڪرڻ,"Darling, fondling, a favourite or much loved child, To spoil, pamper","47) دادُلو
			(p. 237) دادُلو n. or a. Darling, fondling, a favourite or much loved child. دادلو ڪرڻ v. t. To spoil, pamper."
داسُ,238,داسُ ڪرڻ,"A slave, servant, A sickle, Stewed, To stew","48) داسُ
			(p. 238) داسُ n. A slave, servant. A sickle. a. Stewed (food). داسُ ڪرڻ v. t. To stew (vegetables, etc.)."
دَخَلُ,240,خل ڪرڻ,"Entering on; interference, meddling, To count for something, Trespass; encroachment, To dispossess, disturb one, Dispossession, ejectment","49) دَخَلُ
			(p. 240) دَخَلُ n. Entering on; interference, meddling. دخل ۾ آڻڻ v. t. To count for something. بيِقاعديِ دخل n. Trespass; encroachment بيل خل ڪرڻ To dispossess, disturb one's possession. بيد خليی n. Dispossession, ejectment."
دَرْجُ ڪرڻ,240,دَرْجُ ڪرڻ,"To record, insert, enter","50) دَرْجُ ڪرڻ
			(p. 240) دَرْجُ ڪرڻ v. t. To record, insert, enter."
دَفَعُ,243,دفع ڪرڻ,"Repulsion, warding off, To repel, avert, A pastime; a makeshift, A mounted head constable of police","51) دَفَعُ
			(p. 243) دَفَعُ n. Repulsion, warding off. دفع ڪرڻ To repel, avert. دفع الوقت A pastime; a makeshift. دفعدار n. A mounted head constable of police."
دِقُ,243,دق ڪرڻ,"Troubled, annoyed, The fulness and pain from surfeit and indigestion, Hectic fever, To trouble, annoy, Trouble, annoyance; pain, ache","52) دِقُ
			(p. 243) دِقُ a. Troubled, annoyed. n. The fulness and pain from surfeit and indigestion. دق تپ Hectic fever. دق ڪرڻ v. t. To trouble, annoy. دِقَتَ n. Trouble, annoyance; pain, ache."
دِلُ,244,۾ ڪرڻ,"Attachment, To feel, take to heart, To humour, To hesitate, Open-hearted, generous, Hearty, Heart-ravishing, lovely","53) دِلُ
			(p. 244) ...Attachment. دل ۾ ڪرڻ ٿيڻ To feel, take to heart. دل وٺڻ v. t. To humour (a child, etc.). دل هڻڻ v. t. To hesitate. دل کليل a. Open-hearted, generous. دليِ a. Hearty. دلبر a. Heart-ravishing, lovely. n. A..."
دَئيِ,249,ديۇن ڪرڻ,"Splendour, An atom, To frighten, threaten, To shine, give light and heat","54) دَئيِ
			(p. 249) دَئيِ n. Splendour. An atom دئيِ ڪرڻ To frighten, threaten. ديۇن ڪرڻ v. i. To shine, give light and heat."
ذِهِنُ,278,نشين ڪرڻ,"A good memory, a sharp understanding; genius, Sagacious, ingenious, sharp, To impress upon the mind","55) ذِهِنُ
			(p. 278) ذِهِنُ n. A good memory, a sharp understanding; genius. ذَهيِنُ a. Sagacious, ingenious, sharp. ذهن نشين ڪرڻ To impress upon the mind."
راجائيِ,279,راڄ ڪرڻ,"Relations, kinsmen, family, race, brotherhood, To reign, rule, Community, Of or belonging to a body of husbandmen or subjects or any class in the community, Republican, democratical, Keeping a","56) راجائيِ
			(p. 279) ...Relations, kinsmen, family, race, brotherhood. راڄ ڪرڻ v. i. To reign, rule. راڄُ مهَاڄَڻُ n. Community. راڄائتو، راڄاڻو or راڄڪو a. Of or belonging to a body of husbandmen or subjects or any class in the community. راڄِداريِ a. Republican, democratical. n. Keeping a..."
راڌاويڌيِ,279,راڌاويڌيِ ڪرڻ,"The halving or dividing the difference between the sums offered by the purchaser and asked by the seller; a medium, To effect a compromise","57) راڌاويڌيِ
			(p. 279) راڌاويڌيِ n. The halving or dividing the difference between the sums offered by the purchaser and asked by the seller; a medium. راڌاويڌيِ ڪرڻ To effect a compromise."
راسِ,280,راس ڪرڻ,"Right, correct; ready, To complete","58) راسِ
			(p. 280) راسِ a. Right, correct; ready. راس ڪرڻ v. t. To complete."
رَتُ,283,رتورت ڪرڻ,"Blood-stained, To fetch much blood, Blood-colored","59) رَتُ
			(p. 283) ...Blood-stained. رتورت ڪرڻ To fetch much blood. رتورنو a. Blood-colored."
رُجۇع,284,رجوع ڪرڻ,"Inclined, disposed, taken in hand, entered upon, referred to another,, To send up, Inclination, leaning; reference to a person for arbitration, etc; the coming in of many people on a visit, etc","60) رُجۇع
			(p. 284) ...Inclined, disposed, taken in hand, entered upon, referred to another, رجوع ڪرڻ v. t. To send up (a case) for trial (as a police officer), to refer (to a person). رجوعات n. Inclination, leaning; reference to a person for arbitration, etc; the coming in of many people on a visit, etc."
ڎيِ ڪرڻ,285,ڎيِ ڪرڻ,"To jib, balk,","61) ڎيِ ڪرڻ
			(p. 285) ڎيِ ڪرڻ v. i. To jib, balk, (as an ox, etc.)."
"رِعاتَ , رِعايَتَ",287,رعات ڪرڻ,"Partiality; regard, favour; remission, indulgence, reduction of price, To reduce","62) رِعاتَ , رِعايَتَ
			(p. 287) رِعاتَ or رِعايَتَ n. Partiality; regard, favour; remission, indulgence, reduction of price. رعات ڪرڻ To reduce."
رَهِتِ,294,رهت ڪرڻ,"Destitute, devoid of, beyond, To make","63) رَهِتِ
			(p. 294) رَهِتِ a. Destitute, devoid of, beyond. رهت ڪرڻ To make (some one) abandon something, deprive of."
ساٺُ,303,ساٺ ڪرڻ,"A method of rubbing or patting with the hand or an instrument a sore or painful part by which it is thought to be cured, Certain superstitious forms gone through for good luck during weddings, etc, To touch","64) ساٺُ
			(p. 303) ساٺُ n. A method of rubbing or patting with the hand or an instrument a sore or painful part by which it is thought to be cured. ساٺ سڳڻ سوڻ Certain superstitious forms gone through for good luck during weddings, etc. ساٺ ڪرڻ To touch (the throat, etc. as a doctor does."
"سامُهائيِ , سامُهٹائي",306,سامهون ڪرڻ,"To face; brave, defy, resist, oppose, To confront, bring, To go direct","65) سامُهائيِ , سامُهٹائي
			(p. 306) ...To face; brave, defy, resist, oppose. سامهون ڪرڻ v. t. To confront, bring (a person) before another. سامهون وڃڻ To go direct."
سَبَبُ,309,سبب ڪرڻ,"Cause, reason, motive, To happen providentially, To ordain","66) سَبَبُ
			(p. 309) سَبَبُ n. Cause, reason, motive. سبب ٿيڻ v. i. To happen providentially. سبب ڪرڻ To ordain."
سَتِميِ,312,ستمي ڪرڻ,"A division, dividing, dividend, Port clearance, To compound, Wrack and ruin","67) سَتِميِ
			(p. 312) سَتِميِ n. A division, dividing, dividend. Port clearance (of a ship). ستمي ڪرڻ To compound (a debt). ستمي ناس Wrack and ruin."
سَتوهُ,313,,Force as,"68) سَتوهُ
			(p. 313) سَتوهُ n. Force as (کائڻ لاءِ ستوه ڪرڻ)"
سَچُ,317,سچيِ ڪرڻ,"Truth, To make a clean breast of, confess","69) سَچُ
			(p. 317) ...Truth. سچيِ ڪرڻ To make a clean breast of, confess."
سَرِ,319,سرانجام ڪرڻ,"Materials, To manage, finish, complete, Completion, end, Straight through the bazar, An administrator, manager, Management, To take on one, Whole, entire","70) سَرِ
			(p. 319) ...Materials. سرانجام ڪرڻ v. t. To manage, finish, complete. سرانجامی n. Completion, end. سربازار Straight through the bazar. سربراهڪار n. An administrator, manager. سربراهيِ-برائيِ n. Management. سربرڪرڻ To take on one's head, accept. سربستو a. Whole, entire."
سَرْسُ,321,سرسيِ ڪرڻ,"Excellence, superiority, increase; dominance, exuberance, abundance, To excel, surpass, Somewhat more","71) سَرْسُ
			(p. 321) ...Excellence, superiority, increase; dominance, exuberance, abundance. سرسيِ ڪرڻ To excel, surpass. سرسيڙُ a. Somewhat more."
"سُرِنگهَہ , سِرِنگَهہ",323,سرنگهہ ڪرڻ,"A mine; subterraneous passage; a tunnel, gallery; an adit, To mine; to undermine; to plot against","72) سُرِنگهَہ , سِرِنگَهہ
			(p. 323) سُرِنگهَہ or سِرِنگَهہ n. (mil.) A mine; subterraneous passage; a tunnel, gallery; an adit. هڻڻ or سرنگهہ ڪرڻ To mine; to undermine; to plot against."
سَڳُڻُ,329,سڳڻ ڪرڻ,"Augury, omen, To taste of, Of, or with good omen, Auspicious; cheap","73) سَڳُڻُ
			(p. 329) ...Augury, omen. سڳڻ ڪرڻ To taste of. سڳڻائتو a. or adv. Of, or with good omen. سُڳِڻو a. Auspicious; cheap."
سَلِ,330,سَل ڪرڻ,"A colstaff, To carry a burden on the shoulders by means of a colstaff as is done by two persons","74) سَلِ
			(p. 330) سَلِ n. A colstaff. سَل ڪرڻ To carry a burden on the shoulders by means of a colstaff as is done by two persons."
سُنَتَ,334,,"Any obligatory religious ceremony as circumcision, cutting moustaches, etc, Mahomed recognized by sunnis; the prayers enjoined by Mahomed, To circumcise, A follower of the traditions, equally revering the four successors of Mahomed","75) سُنَتَ
			(p. 334) سُنَتَ n. Any obligatory religious ceremony as circumcision, cutting moustaches, etc.; the traditional sayings and doings of Mahomed recognized by sunnis; the prayers enjoined by Mahomed. سنت ڪرڻ-وهارڻ To circumcise. سُنيِ A follower of the traditions, equally revering the four successors of Mahomed."
سَنجوڳُہ,335,سنجوڳہ ڪرڻ,"Conjunction; concord, To cohabit, An ascetic with a family, A class of Mah, Hindu customs","76) سَنجوڳُہ
			(p. 335) سَنجوڳُہ n. Conjunction; concord. سنجوڳہ ڪرڻ To cohabit. سنجوڳيِ n. An ascetic with a family. سنجوڳيِ شيخ n. A class of Mah. converts who observe Hindu customs."
"ڪرڻ , ڪڍڻ",345,345) ڪرڻ,"To fast, The settling of","77) ڪرڻ , ڪڍڻ
			(p. 345) ڪرڻ or ڪڍڻ To fast. سوڪَهَڙيِ n. The settling of (ground after rain)."
سَهيِ,350,سهي ڪرڻ,"An acquaintance, Acquainted with; conversant, having knowledge of, privy, To understand, know, make out","78) سَهيِ
			(p. 350) سَهيِ n. An acquaintance. a. Acquainted with; conversant, having knowledge of, privy. سهي ڪرڻ v. t. To understand, know, make out."
سِياهُ,351,سياه ڪرڻ,"Black, sable, Black-eyed, The red lynx, To burn to ashes, Blackness, Ink","79) سِياهُ
			(p. 351) سِياهُ a. Black, sable. سياه چشم a. Black-eyed (as a hawk). سياه گوش n. The red lynx—felis caracal. خاڪ سياه ڪرڻ To burn to ashes. سياهيِ n. Blackness. Ink."
شادِ,356,شاديِ ڪرڻ,"Joyful, happy, pleased, Happy, joyful, Festivity, A marriage, wedding; joy, delight, festivity, To be married, To celebrate a marriage","80) شادِ
			(p. 356) شادِ a. Joyful, happy, pleased. شادانُ or شادان a. Happy, joyful. شادِمانو n. Festivity. شاديِ n. A marriage, wedding; joy, delight, festivity. شاديِ ڪرڻ To be married. To celebrate a marriage."
شامِلُ,356,,"Joined, connected; associated; concerned; attached, appended, To append, attach","81) شامِلُ
			(p. 356) شامِلُ a Joined, connected; associated; concerned; attached, appended. شامل ڪرڻ. v.t. To append, attach."
شُرۇعُ,359,شروع ڪرڻ,"Begun, commenced, Beginning, commencement, To begin, set up, institute, Beginning, commencement","82) شُرۇعُ
			(p. 359) شُرۇعُ a. Begun, commenced. n. Beginning, commencement. شروع ڪرڻ v.t. To begin, set up, institute. شروعات n. Beginning, commencement."
شِري ڪرڻ,359,شِري ڪرڻ,To spoil by over-indulgence,"83) شِري ڪرڻ
			(p. 359) شِري ڪرڻ v. t. To spoil by over-indulgence."
شَرِيڪُ,360,شريڪ ڪرڻ,"A partner; a relation, relative; a member of a community, To make one a partner in, Of the same relationship or partnership, Partnership, equality, Partnership; relationship","84) شَرِيڪُ
			(p. 360) شَرِيڪُ n. A partner; a relation, relative; a member of a community. شريڪ ڪرڻ To make one a partner in. شريڪاڻو a. Of the same relationship or partnership. شريڪت n. Partnership, equality. شريڪيِ n. Partnership; relationship."
شُغُلُ,360,شغل ڪرڻ,"Engagement, employment; amusement, pastime, To employ oneself; to enjoy oneself","85) شُغُلُ
			(p. 360) شُغُلُ n. Engagement, employment; amusement, pastime. شغل ڪرڻ To employ oneself; to enjoy oneself."
صَرِفُ,366,صرف ڪرڻ,"Cost, Etymology, accidence, To spend, Grammar, A grammarian","86) صَرِفُ
			(p. 366) صَرِفُ n. Cost. (gram.) Etymology, accidence. صرف ڪرڻ To spend. صرف ونحو n. Grammar. صرفيِ n. A grammarian."
صُلِحُ,366,صلح ڪرڻ,"Breach of peace, To be concluded, To come to terms, make peace, Peaceful, peacefully, pacific, A treaty of peace; a deed of compromise, Peaceful","87) صُلِحُ
			(p. 366) ...Breach of peace. صلح ٿيڻ To be concluded (a peace). صلح ڪرڻ To come to terms, make peace. صُلِحائِتو or صُلْحائِتو a. or adv. Peaceful, peacefully, pacific. صلح نامو n. A treaty of peace; a deed of compromise. صُلَحيِ a. Peaceful."
ضايَعَ,368,ضايع ڪرڻ,"Injured, spoiled, Uselessly, vainly, To waste","88) ضايَعَ
			(p. 368) ضايَعَ a. Injured, spoiled. adv. Uselessly, vainly. ضايع ڪرڻ v. t. To waste."
